t_sec,F3,F4,C3,C4,P3,P4,O1,O2
0.000,12.1,10.8,8.4,7.9,9.2,9.5,15.3,14.8
0.008,11.9,10.6,8.6,8.1,9.1,9.6,15.1,14.6
0.016,12.3,10.9,8.5,8.0,9.3,9.4,15.4,14.9
0.024,12.0,10.7,8.7,8.2,9.0,9.7,15.0,14.5
0.032,12.2,10.8,8.6,8.1,9.2,9.6,15.2,14.7
0.040,12.4,11.0,8.8,8.3,9.4,9.8,15.6,15.0
0.048,12.1,10.8,8.5,8.0,9.1,9.5,15.2,14.6
0.056,11.8,10.5,8.3,7.8,8.9,9.3,14.9,14.4
0.064,12.0,10.7,8.4,7.9,9.0,9.4,15.1,14.5
0.072,12.3,10.9,8.6,8.1,9.2,9.6,15.4,14.8
0.080,12.5,11.1,8.9,8.4,9.5,9.9,15.8,15.2
0.088,12.2,10.8,8.6,8.1,9.2,9.6,15.3,14.7
0.096,12.0,10.6,8.4,7.9,9.0,9.4,15.0,14.5
0.104,11.9,10.5,8.3,7.8,8.9,9.3,14.8,14.3
0.112,12.1,10.7,8.5,8.0,9.1,9.5,15.2,14.6
0.120,12.4,11.0,8.8,8.3,9.4,9.8,15.7,15.1
0.128,12.2,10.9,8.7,8.2,9.3,9.7,15.5,14.9
0.136,12.0,10.7,8.5,8.0,9.1,9.5,15.2,14.6
0.144,11.8,10.5,8.3,7.8,8.9,9.3,14.9,14.4
0.152,12.1,10.8,8.6,8.1,9.2,9.6,15.3,14.7
